                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.54367,                0.79804,                  1.074,                 0.8659,                0.84587,                0.91829,                0.83901,                0.42124,                0.59822,                0.93764,                0.00703,                0.00703,                0.00703
                     47,                0.53288,                0.79172,                 1.0772,                0.87519,                0.84535,                0.92165,                0.84631,                0.42593,                0.59455,                0.92954,               0.006964,               0.006964,               0.006964
                     48,                0.54643,                0.78166,                 1.0765,                0.87794,                  0.872,                0.92835,                0.85144,                 0.4267,                0.56279,                0.93737,               0.006898,               0.006898,               0.006898
                     49,                0.52338,                0.75708,                 1.0639,                0.85296,                0.85383,                0.91733,                0.84217,                0.42242,                0.60658,                0.94057,               0.006832,               0.006832,               0.006832
                     50,                0.53027,                0.76423,                 1.0659,                0.86057,                0.88053,                0.93007,                0.84899,                0.44957,                0.54504,                 0.9472,               0.006766,               0.006766,               0.006766
                     51,                0.52317,                0.73634,                 1.0601,                0.86929,                0.87689,                0.93195,                0.85891,                0.42034,                0.52214,                 0.9251,                 0.0067,                 0.0067,                 0.0067
                     52,                 0.5255,                0.75376,                 1.0698,                0.84328,                0.86804,                0.92461,                0.84968,                0.42889,                 0.5545,                0.93191,               0.006634,               0.006634,               0.006634
                     53,                0.51638,                0.72696,                 1.0607,                0.85133,                0.89024,                0.93431,                0.86058,                0.42212,                0.55572,                0.93143,               0.006568,               0.006568,               0.006568
                     54,                0.52402,                0.74234,                 1.0672,                0.87185,                0.85965,                0.93691,                0.86239,                0.42948,                0.56553,                0.93087,               0.006502,               0.006502,               0.006502
                     55,                 0.5172,                0.71346,                 1.0603,                0.84172,                0.89497,                0.93518,                0.86272,                0.40627,                0.52906,                0.91939,               0.006436,               0.006436,               0.006436
                     56,                0.51357,                0.71407,                 1.0574,                0.87479,                0.85942,                0.92297,                 0.8484,                0.39908,                 0.5417,                0.91136,                0.00637,                0.00637,                0.00637
                     57,                0.51138,                0.71017,                 1.0576,                0.90626,                0.88111,                0.93984,                0.87107,                0.40096,                0.52497,                0.90699,               0.006304,               0.006304,               0.006304
                     58,                0.51695,                0.70636,                 1.0546,                0.89985,                 0.8719,                0.93924,                 0.8648,                0.40615,                0.51671,                0.91249,               0.006238,               0.006238,               0.006238
                     59,                0.51598,                0.70147,                 1.0592,                 0.9006,                 0.8765,                0.93232,                0.86111,                0.40128,                0.51456,                0.91686,               0.006172,               0.006172,               0.006172
                     60,                0.51055,                0.67903,                 1.0512,                0.89543,                0.88364,                0.94293,                0.87276,                0.39096,                0.49889,                0.90618,               0.006106,               0.006106,               0.006106
                     61,                0.50649,                0.70352,                 1.0586,                0.91341,                0.85136,                0.93995,                 0.8714,                0.38854,                0.51038,                0.90541,                0.00604,                0.00604,                0.00604
                     62,                0.50602,                0.68053,                 1.0485,                0.88686,                0.87314,                0.93726,                0.86981,                0.40489,                0.50322,                   0.91,               0.005974,               0.005974,               0.005974
                     63,                0.50365,                0.66594,                 1.0506,                0.89961,                0.87948,                0.93908,                0.87287,                0.38976,                0.47614,                0.90475,               0.005908,               0.005908,               0.005908
                     64,                0.49993,                0.67981,                 1.0513,                0.90808,                0.89204,                0.95039,                0.88273,                0.39436,                0.45639,                0.90642,               0.005842,               0.005842,               0.005842
                     65,                0.50581,                0.69047,                 1.0484,                 0.9065,                0.89985,                0.94862,                0.88532,                0.38499,                0.46093,                0.89936,               0.005776,               0.005776,               0.005776
                     66,                0.50198,                0.66283,                 1.0496,                0.92119,                0.87606,                0.94532,                0.87985,                0.39295,                0.47955,                 0.9048,                0.00571,                0.00571,                0.00571
                     67,                0.48993,                0.66018,                 1.0422,                0.88031,                0.90259,                0.95058,                0.88577,                0.40292,                0.48789,                0.90751,               0.005644,               0.005644,               0.005644
                     68,                0.49998,                0.64207,                  1.046,                0.88278,                0.89666,                0.94778,                0.87875,                0.38588,                0.47702,                0.89754,               0.005578,               0.005578,               0.005578
                     69,                0.50024,                0.66112,                 1.0445,                0.91469,                0.86555,                0.94809,                0.88351,                0.38031,                0.47556,                0.89693,               0.005512,               0.005512,               0.005512
                     70,                0.49157,                 0.6493,                 1.0454,                0.91124,                0.89666,                 0.9494,                0.88755,                0.40179,                0.46726,                  0.906,               0.005446,               0.005446,               0.005446
                     71,                0.49599,                0.64699,                 1.0459,                0.90127,                0.89445,                 0.9469,                0.88771,                0.40101,                0.47175,                0.90228,                0.00538,                0.00538,                0.00538
                     72,                0.48685,                0.62131,                 1.0401,                 0.8816,                0.92816,                0.95662,                0.89356,                0.38936,                0.43219,                0.89633,               0.005314,               0.005314,               0.005314
                     73,                0.47903,                0.62171,                 1.0344,                0.88187,                0.90621,                0.94771,                0.88703,                0.37772,                0.45844,                0.88965,               0.005248,               0.005248,               0.005248
                     74,                 0.4862,                0.62704,                 1.0418,                 0.9117,                0.89024,                0.95017,                0.88738,                0.38284,                0.45525,                0.88996,               0.005182,               0.005182,               0.005182
                     75,                0.48138,                0.61361,                 1.0398,                0.92432,                0.88629,                0.95547,                 0.8907,                0.37737,                0.44397,                0.89332,               0.005116,               0.005116,               0.005116
                     76,                0.47165,                0.60638,                 1.0329,                0.91949,                0.90778,                0.95971,                0.89953,                0.38957,                0.43346,                0.89656,                0.00505,                0.00505,                0.00505
                     77,                0.48639,                0.61232,                 1.0389,                0.91616,                0.90429,                0.96035,                 0.9005,                0.38361,                0.42097,                0.89238,               0.004984,               0.004984,               0.004984
                     78,                0.47516,                0.59314,                 1.0332,                0.90329,                0.89155,                0.95203,                  0.893,                0.38035,                0.44698,                0.88591,               0.004918,               0.004918,               0.004918
                     79,                 0.4756,                0.59934,                 1.0323,                0.92354,                0.89958,                0.95523,                0.89354,                0.36792,                0.42551,                0.88638,               0.004852,               0.004852,               0.004852
                     80,                 0.4685,                0.58504,                  1.027,                0.92372,                0.88687,                0.95605,                0.89425,                0.37336,                0.43688,                 0.8868,               0.004786,               0.004786,               0.004786
                     81,                0.46987,                0.58573,                 1.0302,                0.90094,                0.91144,                0.95977,                0.90223,                0.36693,                0.42494,                0.87989,                0.00472,                0.00472,                0.00472
                     82,                0.45991,                0.58421,                 1.0276,                 0.9066,                0.91991,                0.96038,                0.90224,                0.37276,                0.41923,                0.88117,               0.004654,               0.004654,               0.004654
                     83,                0.46933,                0.57225,                  1.035,                0.90311,                0.92496,                0.95891,                0.90426,                0.37609,                0.41908,                0.88237,               0.004588,               0.004588,               0.004588
                     84,                0.47662,                0.58467,                 1.0329,                0.90558,                0.90712,                0.95816,                0.89887,                0.38275,                0.41811,                 0.8876,               0.004522,               0.004522,               0.004522
                     85,                0.46485,                 0.5628,                 1.0261,                0.90795,                 0.9137,                0.95619,                 0.8971,                0.36705,                0.41505,                0.88292,               0.004456,               0.004456,               0.004456
                     86,                0.45506,                0.56105,                 1.0173,                0.92497,                0.90672,                0.96064,                0.90771,                 0.3605,                0.41422,                0.87116,                0.00439,                0.00439,                0.00439
                     87,                0.47249,                0.57376,                 1.0278,                0.93481,                0.91288,                0.96193,                0.90093,                0.36748,                0.39751,                0.88333,               0.004324,               0.004324,               0.004324
                     88,                 0.4565,                0.56244,                 1.0239,                0.92584,                0.91013,                0.96129,                0.90258,                0.37005,                0.42419,                0.87321,               0.004258,               0.004258,               0.004258
                     89,                0.46534,                0.56402,                 1.0256,                0.91751,                0.91101,                0.95861,                0.90243,                0.36686,                0.40436,                0.87341,               0.004192,               0.004192,               0.004192
