                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                   1.03,                 1.1259,                 1.5106,                0.77331,                0.80058,                0.86405,                0.62896,                 1.0325,                0.95416,                 1.8459,                0.00604,                0.00604,                0.00604
                     50,                 1.0172,                  1.108,                 1.5025,                0.79642,                0.82689,                0.88907,                0.64874,                 1.0292,                0.89995,                 1.8262,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.0018,                 1.0899,                 1.4911,                0.81026,                 0.8244,                0.88156,                0.62994,                 1.0792,                0.94136,                  1.892,               0.005875,               0.005875,               0.005875
                     52,                 1.0092,                 1.0828,                 1.4921,                0.79343,                0.85282,                0.90261,                0.66201,                 1.0461,                0.85269,                 1.8262,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.0026,                 1.0715,                 1.4825,                0.87036,                0.81698,                0.90407,                0.66341,                 1.0527,                0.85651,                  1.851,                0.00571,                0.00571,                0.00571
                     54,                 1.0157,                 1.0615,                 1.4926,                0.89149,                 0.8077,                0.90267,                0.65248,                 1.0476,                0.85643,                 1.8326,              0.0056275,              0.0056275,              0.0056275
                     55,                 1.0174,                 1.0809,                 1.4924,                0.85387,                0.80382,                0.89265,                0.64254,                 1.0998,                0.88654,                 1.8719,               0.005545,               0.005545,               0.005545
                     56,                 1.0046,                 1.0571,                 1.4907,                0.82634,                0.85317,                0.91811,                0.66867,                 1.0686,                0.79453,                 1.8272,              0.0054625,              0.0054625,              0.0054625
                     57,                0.98618,                 1.0601,                   1.48,                  0.822,                0.82204,                0.89022,                0.64233,                 1.0666,                0.91209,                 1.8788,                0.00538,                0.00538,                0.00538
                     58,                0.98871,                  1.062,                 1.4771,                0.85619,                  0.797,                0.90561,                 0.6583,                 1.0359,                0.84097,                 1.8196,              0.0052975,              0.0052975,              0.0052975
                     59,                0.97697,                 1.0149,                   1.46,                0.81459,                0.84133,                0.90082,                0.64303,                 1.0705,                 0.8857,                 1.8562,               0.005215,               0.005215,               0.005215
                     60,                0.98061,                 1.0164,                 1.4683,                0.88278,                0.83696,                0.91778,                0.66204,                 1.0744,                0.83877,                 1.8621,              0.0051325,              0.0051325,              0.0051325
                     61,                0.98803,                 1.0198,                 1.4718,                0.81912,                0.86913,                0.91249,                0.67094,                 1.0235,                0.82378,                 1.8123,                0.00505,                0.00505,                0.00505
                     62,                0.98104,                0.99125,                 1.4627,                0.83645,                0.84933,                0.91947,                0.66947,                 1.0392,                0.79956,                 1.8425,              0.0049675,              0.0049675,              0.0049675
                     63,                0.99049,                0.98849,                 1.4689,                0.86066,                0.88238,                0.92637,                0.67936,                 1.0466,                0.78663,                 1.8375,               0.004885,               0.004885,               0.004885
                     64,                0.98211,                0.96612,                 1.4523,                0.82754,                0.89027,                0.91973,                0.66784,                 1.0673,                0.80106,                  1.852,              0.0048025,              0.0048025,              0.0048025
                     65,                0.97786,                0.98165,                   1.46,                  0.894,                0.86915,                0.93391,                0.67617,                 1.0321,                0.74684,                 1.8286,                0.00472,                0.00472,                0.00472
                     66,                0.95041,                0.94292,                 1.4451,                0.88061,                0.86418,                 0.9295,                0.67654,                 1.0656,                 0.7761,                 1.8479,              0.0046375,              0.0046375,              0.0046375
                     67,                0.97926,                 0.9425,                 1.4635,                 0.8319,                 0.9032,                0.93448,                0.69465,                 1.0172,                 0.7675,                 1.7853,               0.004555,               0.004555,               0.004555
